gene,HR,pvalue,FDR
ENSG00000180818.5,0.9798837914815466,0.5126244138487971,0.6665316657321765
ENSG00000109943.9,0.8560142578229858,3.4393148773724247e-7,1.7033121798630563e-5
ENSG00000115457.10,0.9515348009818482,0.11618290652262467,0.23905672497991304
ENSG00000080854.16,0.9750032272876171,0.40628553012025903,0.5731544949869019
ENSG00000122176.12,0.9943321751630991,0.8486361062232167,0.9087728116738449
ENSG00000077984.6,0.8852631466959914,8.428603414984686e-5,8.465838209187431e-4
ENSG00000186205.13,1.0033886889635342,0.9120096271050243,0.9477424142366768
ENSG00000163599.17,0.8886219528364889,5.779959610758238e-5,6.496934375957911e-4
ENSG00000156475.18,0.8828920323263485,1.0542585406328055e-4,9.972403300470402e-4
ENSG00000166523.8,0.8702479586627844,1.0283418606624356e-6,3.429177324689002e-5
ENSG00000077935.17,1.0098900081375797,0.7450573476158276,0.8404999667962042
ENSG00000265206.5,0.8849290199059998,6.346897387168431e-5,6.893899488129426e-4
ENSG00000234323.8,1.0120196637479864,0.7137924348021637,0.8192725467830251
ENSG00000115648.14,1.0468637074198084,0.15994170021225207,0.3025916136814285
ENSG00000263154.1,1.0306205536747073,0.33772094458554863,0.50912602917929906
ENSG00000075340.23,0.9590703225542322,0.19866831084262698,0.3517703483914606
ENSG00000152822.14,1.0254418016669655,0.37716581677091077,0.5473116958190007
ENSG00000154678.18,1.001023082240316,0.9737539686018323,0.9830614308663372
ENSG00000180535.4,0.9095578848530471,0.0026103868481073683,0.012953526799834381
ENSG00000241945.8,0.954586685089102,0.1514468795643206,0.2902441730194374
ENSG00000135111.16,1.0011403942792683,0.9707514404769393,0.9821397057576152
ENSG00000109610.6,0.9422343340483356,0.06282897512413146,0.15182151380236986
ENSG00000121807.6,0.8659576141277711,1.1774197372623611e-6,3.635465139374278e-5
ENSG00000111879.20,0.8680161472404317,1.2673773915720858e-5,2.1131405708811908e-4
ENSG00000154493.19,1.060722219686647,0.08768764817589308,0.1950260632173487
ENSG00000092621.13,1.0061555343743231,0.846147250250798,0.9070786504320042
ENSG00000172543.8,0.8648285757536716,2.755567353948394e-6,6.594903303564529e-5
ENSG00000153283.13,0.8796985038959156,1.3297318328041528e-5,2.1807602057988105e-4
ENSG00000132970.14,1.0513699672115633,0.11560895296375737,0.23826781323638827
ENSG00000146006.8,0.9177708435403603,0.005702971448515869,0.02444409870220769
ENSG00000267470.6,1.0566808896972644,0.09345704447432013,0.2051216044144578
ENSG00000125538.12,0.95218977639781,0.13086632723655484,0.2596614611983072
ENSG00000244198.7,0.9551737473718336,0.16081052602646334,0.3035374532771206
ENSG00000177272.9,0.8647555923779702,2.876552919075614e-6,6.787036651517086e-5
ENSG00000215845.11,0.955354320095442,0.1616332082829851,0.3041720495980028
ENSG00000171502.15,0.9871566452345026,0.6896528266767211,0.8056441333158164
ENSG00000119411.11,1.0172879132544377,0.6275915652299614,0.7610635013733363
ENSG00000169313.10,0.8879365778282537,8.908920974958803e-5,8.859328571917284e-4
ENSG00000112964.14,1.000281145942803,0.9927782441954232,0.9949662948237842
ENSG00000182379.10,1.0393711501669365,0.21943417030401235,0.37537952115617984
ENSG00000162998.5,1.0068276597253234,0.8217867738587404,0.8910855067941513
ENSG00000230076.1,0.9906046355122701,0.7736851127380476,0.8598029179994923
ENSG00000112378.12,1.0662315300673262,0.06818393720162737,0.16042147407457202
ENSG00000122778.10,1.037803763712691,0.24147801544575492,0.4038358519758162
ENSG00000114646.10,0.941709920673071,0.04456678507992125,0.11738970983136708
ENSG00000005471.19,0.9552461131214571,0.1258956259792382,0.2529035827904215
ENSG00000250072.6,0.8688423265493275,2.314470064036883e-5,3.2982846895477177e-4
ENSG00000272405.1,0.9976253603148396,0.9401992460720849,0.9631645042793426
ENSG00000213225.7,1.0095723011568916,0.7606465187772039,0.8496547313362157
ENSG00000117707.16,0.9080195220665255,0.0020199524044091635,0.010502912605878
ENSG00000167588.13,0.9372943426341563,0.046831686974340016,0.12258089913430076
ENSG00000275395.6,0.9796873102188789,0.5118080856259124,0.6656432772493016
ENSG00000073756.12,0.9916935706018704,0.7989176404885449,0.877125995988521
ENSG00000157927.17,1.105003431946962,0.0015436896422558982,0.008550980720447401
ENSG00000126500.3,1.0336519227179328,0.2944717129141198,0.46421289252960196
ENSG00000147570.10,0.8529142897431876,5.426926103071595e-7,2.26212369729701e-5
ENSG00000171126.8,0.9927525567132806,0.8162057038959761,0.8884206301120325
ENSG00000108001.15,0.9603948400011103,0.16835861882202346,0.31340893611751447
ENSG00000143416.21,1.0560338541321106,0.0995179379521231,0.21382677218063562
ENSG00000122420.10,0.9657264251068011,0.24957887258191255,0.4131017606402139
ENSG00000233695.2,0.9362975182154795,0.06151620795363549,0.1495887565309114
ENSG00000124731.13,0.9828049906251594,0.5750372048704033,0.7181584820174242
ENSG00000172572.7,1.1023357252534545,0.002419442882863486,0.012187364854061588
ENSG00000276070.5,0.8899640715460657,1.567344550102735e-4,0.0013651197572844358
ENSG00000272068.1,0.9900376881796169,0.7484430504252902,0.842537365567034
ENSG00000102924.12,1.0140226983748488,0.6734620563074537,0.7947843281400233
ENSG00000182667.14,0.9983923692050647,0.956444668290869,0.9727877917050228
ENSG00000254245.3,0.9765629006339906,0.4713724459687147,0.6299831627945721
ENSG00000262772.2,1.0111825690357044,0.7391644905718405,0.8357370664196081
ENSG00000105997.22,0.9092488872654356,0.0035005734468634164,0.01633899050868996
ENSG00000137033.11,0.8937941003278984,7.548088615236241e-4,0.0047372069326739865
ENSG00000186310.10,0.970065848163631,0.32149119777920515,0.49147279073703676
ENSG00000107954.10,1.0730541236470248,0.030282600870487134,0.08852926332798167
ENSG00000155754.15,1.0329838205289388,0.32399366761637904,0.4935401314991222
ENSG00000152495.11,0.8788642380924062,8.293829748513991e-5,8.397922348596555e-4
ENSG00000101115.13,1.050390306595889,0.1253557689498078,0.25234435025023266
ENSG00000101082.14,0.8507084916082752,3.8192087649498744e-7,1.850805589151311e-5
ENSG00000157766.19,1.0190795498174179,0.539123512833634,0.6902216051174398
ENSG00000130768.15,0.9355206482013457,0.03003069944874161,0.08794704838560043
ENSG00000007908.16,0.974812651363128,0.39327519877141104,0.5619204881691098
ENSG00000131019.11,1.0060226187315595,0.8486310467950243,0.9087728116738449
ENSG00000204252.14,0.8640775227083541,1.2524925215334124e-6,3.796950056187957e-5
ENSG00000115085.14,0.8999405742205238,6.584246007397422e-4,0.0042277790152762396
ENSG00000170382.12,0.9704125236625889,0.3842035558676962,0.5535098463278273
ENSG00000001561.7,0.8463965726846916,4.236914258703048e-7,1.9806584226198736e-5
ENSG00000164694.17,0.999273104047953,0.9811267962394513,0.9878414321235378
ENSG00000115523.17,0.8979284536823648,4.1078581371390273e-4,0.002926995213955757
ENSG00000254221.2,0.9888939310008695,0.7370146009040827,0.8346269037179582
ENSG00000103184.12,1.0291027349332877,0.36908788489872,0.5396602163880145
ENSG00000141404.17,1.137474280565357,3.8782468018672844e-5,4.8256195280945666e-4
ENSG00000179593.16,0.9644102062066916,0.255868493630697,0.4203114797456696
ENSG00000203808.12,0.9924856896513592,0.8086639753178245,0.8835598961423675
ENSG00000171368.12,1.1076467635370337,0.0019457746889876488,0.010234242896231566
ENSG00000155961.5,0.9093429311788122,0.0018443414110427881,0.009783028354226963
ENSG00000178752.16,1.1153460383551927,8.154260523505477e-4,0.0050355075479721475
ENSG00000156140.10,0.9637969791895232,0.2694474768596665,0.4346778314985403
ENSG00000166923.12,1.031432486389912,0.313119011065665,0.48204468418160323
ENSG00000154556.18,1.0169078788621009,0.601387582692014,0.7396460999816704
ENSG00000114270.17,1.049385678447838,0.12363233305279045,0.2500642660453125
ENSG00000184599.13,0.9508044947761828,0.11199273660768332,0.23292626549340206
ENSG00000240498.9,0.9632669382516625,0.20186647438217106,0.3555408819928238
ENSG00000105889.16,1.0876296946445634,0.01583237855303741,0.053983338461004164
ENSG00000137727.12,0.964277669558587,0.3068515222335446,0.4753974911985588
ENSG00000113263.13,0.9010553222340236,4.7116549366109785e-4,0.003255206905100568
ENSG00000152939.17,1.0795540394595224,0.0218738445552099,0.06904547905408229
ENSG00000188404.10,0.8858787586069027,2.580238362653272e-4,0.002061717618209531
ENSG00000260807.7,0.9485347736679596,0.089413644434485115,0.1978969245403958
ENSG00000171611.10,0.9404213056914554,0.060559728261350566,0.14819690609623418
ENSG00000073464.13,1.01755337261393,0.5864220229544589,0.7269598410949698
ENSG00000129946.10,1.0604371128685084,0.07916736747490058,0.1796525220257277
ENSG00000166450.13,1.05802206062759,0.08370397981586504,0.18825868122255257
ENSG00000169302.16,0.968767270194299,0.31969233016327775,0.48977060810925427
ENSG00000160161.9,1.0737637198060812,0.021792115296545064,0.06890907069298736
ENSG00000101194.18,0.9463577993465695,0.08652411364153174,0.19303907958739597
ENSG00000166482.12,1.0353461722311645,0.2790891335696263,0.44686422730962566
ENSG00000162892.16,1.0002157683419475,0.994701375326127,0.9964943479634063
ENSG00000155966.14,1.0063644976407797,0.8422692892884186,0.9044766851635958
ENSG00000151090.20,0.949697412344279,0.1227087203985092,0.24849757871795267
ENSG00000005844.19,0.876087877060311,2.4217397079709603e-5,3.421904525217724e-4
ENSG00000169715.15,0.9511340172399079,0.1140517472788797,0.2356409912800315
ENSG00000185686.18,1.0133168477437873,0.7258580070470555,0.8276138024274837
ENSG00000196735.13,0.8626441696156966,9.14054650646911e-7,3.126178212818986e-5
ENSG00000118402.6,0.9988717956467467,0.9728709206376824,0.9830614308663372
ENSG00000171877.21,0.9313425994987737,0.021403951507759773,0.06785911236134312
ENSG00000239467.6,0.9747283011788613,0.39991717012350614,0.5681665041931201
ENSG00000152377.14,1.023154380854225,0.44772404949534694,0.6093920260070002
ENSG00000188613.7,0.9457600283130946,0.06844691803751812,0.16088885527427896
ENSG00000179242.16,1.0624797002325013,0.03373071987181781,0.0954844713066399
ENSG00000154258.17,0.9361309316898937,0.049015827351496975,0.12635591952867836
ENSG00000103569.10,0.9519186632774157,0.11760877091909208,0.24118702315592352
ENSG00000128710.6,0.9853494838631558,0.6575177860307507,0.7836441483453843
ENSG00000100504.17,1.0136722316422888,0.6776270860174114,0.7975272198256687
ENSG00000166501.14,0.9391197254048239,0.05097402761575888,0.12995519170949332
ENSG00000008118.10,1.0965784221521617,0.0038867541191372314,0.017968155364070638
ENSG00000274286.2,1.0117927622011904,0.7278991571474358,0.8288075538473649
ENSG00000162894.12,0.9805255605884445,0.551604839694514,0.6993985825480251
ENSG00000092051.17,0.9948609996335293,0.8714900835266922,0.9237556186922767
ENSG00000135925.9,0.9610500905765782,0.22867248216803066,0.3866868680880627
ENSG00000173898.14,1.0586614372156322,0.07636702970011823,0.17506319090742045
ENSG00000226363.3,1.046661437411814,0.1588854908729412,0.30103985808577727
