"gene","logFC_main","adjP_main","P_main","logFC_raw","adjP_raw","P_raw","direction_same","significant_main","significant_raw"
"CCL19",5.68006070085957,0.889971158782418,0.433522184765021,5.68006070085959,0.895910945117688,0.43643871249408,TRUE,FALSE,FALSE
"HSD11B1",1.95959934483589,0.889971158782418,0.435197541242269,1.95959934483591,0.895910945117688,0.438110285754919,TRUE,FALSE,FALSE
"IRF8",2.02272406362879,0.889971158782418,0.436085867803385,2.0227240636288,0.895910945117688,0.438996363107667,TRUE,FALSE,FALSE
"CD79A",8.96617145820531,0.891314608724224,0.442109089367461,8.9661714582053,0.896260664348751,0.445003802443004,TRUE,FALSE,FALSE
"CXCL11",-0.549167835622101,0.891314608724224,0.454492637728676,-0.5491678356221,0.896260664348751,0.457358639728465,TRUE,FALSE,FALSE
"NLRP3",-0.137945085293102,0.891314608724224,0.458251508643999,-0.137945085293102,0.896260664348751,0.461177115312153,TRUE,FALSE,FALSE
"HLA-DPA1",0.644703348976989,0.891314608724224,0.463570937306089,0.644703348976982,0.896260664348751,0.46640932987534,TRUE,FALSE,FALSE
"SLAMF7",1.46781134782231,0.891314608724224,0.470651957522309,1.46781134782231,0.896260664348751,0.473466392171811,TRUE,FALSE,FALSE
"IDO1",0.400416920070158,0.891314608724224,0.471338083448047,0.400416920070159,0.896260664348751,0.474158092496872,TRUE,FALSE,FALSE
"HLA-F",0.550860667277442,0.891314608724224,0.475926278105487,0.550860667277448,0.896260664348751,0.478728059948307,TRUE,FALSE,FALSE
"TNFSF10",1.53642921415635,0.891314608724224,0.48277027311957,1.53642921415634,0.896260664348751,0.485546557033705,TRUE,FALSE,FALSE
"SOCS1",-1.41924402410623,0.891314608724224,0.484712315372573,-1.41924402410622,0.896260664348751,0.487482387641124,TRUE,FALSE,FALSE
"THBS1",-1.40169232494945,0.891314608724224,0.487119770911967,-1.40169232494946,0.896260664348751,0.489881971795983,TRUE,FALSE,FALSE
"CD276",-2.09205838274042,0.891314608724224,0.487581014240514,-2.09205838274042,0.896260664348751,0.490341354926543,TRUE,FALSE,FALSE
"IRF9",-0.868867245274465,0.891314608724224,0.492618534253755,-0.868867245274457,0.896260664348751,0.495363378032845,TRUE,FALSE,FALSE
"TNFRSF10C",0.36467642763714,0.891314608724224,0.494679607841944,0.364676427637137,0.896260664348751,0.497424668713557,TRUE,FALSE,FALSE
"BTLA",0.18471602941561,0.897793201316227,0.502764192737087,0.184716029415609,0.902687689662601,0.505505106211056,TRUE,FALSE,FALSE
"CD8A",-1.11673132068276,0.900647044161027,0.50886557995098,-1.11673132068276,0.90540400055072,0.511553260311157,TRUE,FALSE,FALSE
"GZMB",0.820753042508685,0.902591980742664,0.521169488588862,0.820753042508687,0.905927199736558,0.523812729910073,TRUE,FALSE,FALSE
"DPP4",-0.153841589083706,0.902591980742664,0.533910414300524,-0.153841589083707,0.905927199736558,0.53654215044658,TRUE,FALSE,FALSE
"NKG7",-2.41068786432765,0.902591980742664,0.542301764307672,-2.41068786432765,0.905927199736558,0.544861941952694,TRUE,FALSE,FALSE
"NFATC2",0.395910986525561,0.902591980742664,0.548829465398733,0.395910986525565,0.905927199736558,0.55136846898193,TRUE,FALSE,FALSE
"LY9",0.269865672502086,0.902591980742664,0.554087393296213,0.269865672502089,0.905927199736558,0.556610552157529,TRUE,FALSE,FALSE
"IFNG",0.174434590326154,0.902591980742664,0.560160995207829,0.174434590326154,0.905927199736558,0.562673142123823,TRUE,FALSE,FALSE
"CSF1",-0.48945750326124,0.902591980742664,0.564317489450369,-0.489457503261246,0.905927199736558,0.566789967072701,TRUE,FALSE,FALSE
"THBD",0.653913623391927,0.902591980742664,0.565103636248283,0.653913623391926,0.905927199736558,0.567571396604006,TRUE,FALSE,FALSE
"ATM",0.190217469191511,0.902591980742664,0.567317126417518,0.190217469191515,0.905927199736558,0.569793943517743,TRUE,FALSE,FALSE
"TLK2",-0.121995866717207,0.902591980742664,0.575776181062844,-0.121995866717208,0.905927199736558,0.578242604438978,TRUE,FALSE,FALSE
"ICOSLG",0.153287449958535,0.902591980742664,0.580635550742314,0.153287449958533,0.905927199736558,0.583062678235917,TRUE,FALSE,FALSE
"TAP1",0.287918315643342,0.902591980742664,0.583404017453292,0.287918315643353,0.905927199736558,0.585798414022935,TRUE,FALSE,FALSE
"IL2RB",0.30471092265584,0.902591980742664,0.586581958987302,0.304710922655843,0.905927199736558,0.588961194184211,TRUE,FALSE,FALSE
"PSMB9",0.402946056501298,0.902591980742664,0.586981746150226,0.402946056501291,0.905927199736558,0.589356236983019,TRUE,FALSE,FALSE
"CD74",61.2207284523118,0.902591980742664,0.590249996155388,61.220728452312,0.905927199736558,0.592605887719467,TRUE,FALSE,FALSE
"PRF1",-0.402939614920581,0.902591980742664,0.591719138898386,-0.402939614920578,0.905927199736558,0.594072187200529,TRUE,FALSE,FALSE
"IRF7",0.885757888340358,0.902591980742664,0.601304486640032,0.88575788834036,0.905927199736558,0.603610691018308,TRUE,FALSE,FALSE
"JAK2",0.163733099231226,0.902591980742664,0.601841711247395,0.163733099231226,0.905927199736558,0.604165990538298,TRUE,FALSE,FALSE
"GUSB",1.25453114112883,0.902591980742664,0.605433799887791,1.25453114112883,0.905927199736558,0.607720494468352,TRUE,FALSE,FALSE
"EOMES",0.169307425253636,0.902591980742664,0.607278872335137,0.169307425253636,0.905927199736558,0.609575717807533,TRUE,FALSE,FALSE
"FAS",0.199062656071501,0.902591980742664,0.607652343608222,0.1990626560715,0.905927199736558,0.609942120945937,TRUE,FALSE,FALSE
"SH2D1A",0.206280582998582,0.902591980742664,0.609571127066767,0.206280582998582,0.905927199736558,0.611850785864921,TRUE,FALSE,FALSE
"ABCF1",0.158727405898073,0.902591980742664,0.613762546905012,0.158727405898071,0.905927199736558,0.616030495820859,TRUE,FALSE,FALSE
"CD70",-0.52967437447578,0.910450943700935,0.623921487314022,-0.52967437447578,0.913570811828138,0.626121964941613,TRUE,FALSE,FALSE
"IL6",0.349425976490028,0.910450943700935,0.630217146215459,0.34942597649003,0.913570811828138,0.63238913916203,TRUE,FALSE,FALSE
"ERCC3",-0.18930654002015,0.910450943700935,0.63276340587215,-0.189306540020164,0.913570811828138,0.634931714220556,TRUE,FALSE,FALSE
"TNFSF13",-0.286621583765847,0.914911944302864,0.640438361012005,-0.286621583765846,0.917944950662662,0.642561465463863,TRUE,FALSE,FALSE
"IFITM2",-6.06494743790346,0.917741196487286,0.647007543523537,-6.06494743790352,0.920698980040115,0.649092780928281,TRUE,FALSE,FALSE
"JAK1",-0.368119729861448,0.917865327854222,0.651684382776498,-0.368119729861433,0.920773092968657,0.653748896007746,TRUE,FALSE,FALSE
"CD14",-2.08297056782284,0.921077212452903,0.665754131226549,-2.08297056782285,0.923555330689523,0.667744069713735,TRUE,FALSE,FALSE
"ITGB2",-1.11369573252641,0.921077212452903,0.67515174559586,-1.11369573252643,0.923555330689523,0.677093046109236,TRUE,FALSE,FALSE
"IL7R",0.175196802489738,0.921077212452903,0.680511289335121,0.175196802489742,0.923555330689523,0.682433828783586,TRUE,FALSE,FALSE
"HLA-DQA2",-0.508303557529754,0.921077212452903,0.687299629640671,-0.508303557529755,0.923555330689523,0.68917771268528,TRUE,FALSE,FALSE
"LCK",0.372045784468936,0.921077212452903,0.688023634989185,0.372045784468938,0.923555330689523,0.689898782933271,TRUE,FALSE,FALSE
"IL32",1.68863131002343,0.921077212452903,0.688323813668705,1.6886313100234,0.923555330689523,0.690195475647173,TRUE,FALSE,FALSE
"TMUB2",0.23463083995599,0.921077212452903,0.689876698066816,0.23463083995599,0.923555330689523,0.691744895119654,TRUE,FALSE,FALSE
"HLA-DRA",-1.00986234456683,0.921077212452903,0.690807909339677,-1.00986234456682,0.923555330689523,0.692666498017143,TRUE,FALSE,FALSE
"B2M",-128.218399717175,0.927998037734101,0.710437203617244,-128.218399717174,0.930104334058736,0.712189467507702,TRUE,FALSE,FALSE
"IL10",-0.0707062507136893,0.927998037734101,0.710486216632453,-0.0707062507136884,0.930104334058736,0.712282129477585,TRUE,FALSE,FALSE
"DNAJC14",0.0998895663921413,0.927998037734101,0.712779456890765,0.0998895663921493,0.930104334058736,0.714540387391161,TRUE,FALSE,FALSE
"HAVCR2",-0.1753537663074,0.927998037734101,0.720134931809191,-0.175353766307402,0.930104334058736,0.721840340961345,TRUE,FALSE,FALSE
"SLC11A1",-0.11653436217297,0.927998037734101,0.723639809980711,-0.116534362172968,0.930104334058736,0.725333426294608,TRUE,FALSE,FALSE
"OAS2",0.459141111005573,0.927998037734101,0.727708231802587,0.459141111005587,0.930104334058736,0.729366031547968,TRUE,FALSE,FALSE
"GZMK",-0.475104204898971,0.927998037734101,0.72847845962127,-0.475104204898969,0.930104334058736,0.730131902236108,TRUE,FALSE,FALSE
"APOE",-84.3468848484756,0.933230797677417,0.73725233016516,-84.3468848484759,0.934683503647037,0.738855826029218,TRUE,FALSE,FALSE
"PDCD1LG2",0.091634047904332,0.933295644320066,0.758367166731369,0.0916340479043325,0.934683503647037,0.759865860202253,TRUE,FALSE,FALSE
"SELP",-0.0689348682114796,0.933295644320066,0.759420014287153,-0.0689348682114801,0.934683503647037,0.760923972876667,TRUE,FALSE,FALSE
"GZMM",-0.188361498801444,0.933295644320066,0.760637502841577,-0.188361498801439,0.934683503647037,0.762111446885641,TRUE,FALSE,FALSE
"ADORA2A",0.0922318863533436,0.933295644320066,0.76167179119983,0.0922318863533436,0.934683503647037,0.763150687427532,TRUE,FALSE,FALSE
"IL11",-0.107248832977096,0.933295644320066,0.773491835862098,-0.107248832977094,0.934683503647037,0.774897095720186,TRUE,FALSE,FALSE
"HLA-DPB1",-0.110542782938357,0.933295644320066,0.774489393022873,-0.110542782938351,0.934683503647037,0.775888201209389,TRUE,FALSE,FALSE
"ENTPD1",0.104893345567133,0.933295644320066,0.7766549537318,0.104893345567136,0.934683503647037,0.778041821386818,TRUE,FALSE,FALSE
"CD38",-0.149242617746586,0.933295644320066,0.779034727114204,-0.149242617746583,0.934683503647037,0.78040293125273,TRUE,FALSE,FALSE
"TNFRSF18",0.14850786056157,0.933295644320066,0.78642951528693,0.148507860561571,0.934683503647037,0.787754026869191,TRUE,FALSE,FALSE
"HLA-E",0.248694851575381,0.933295644320066,0.796348968700538,0.248694851575385,0.934683503647037,0.797612247451864,TRUE,FALSE,FALSE
"CD27",0.316725702083559,0.933295644320066,0.797782012466506,0.316725702083559,0.934683503647037,0.799036319279695,TRUE,FALSE,FALSE
