"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","direction"
"TNFRSF1A",-0.0283079479368594,15.9357777777778,-0.243759713590307,0.807554447953012,0.922139876378777,-4.89124641828306,"Down_in_responders"
"IL5",-0.0411949598449182,23.1265833333333,-0.221973149277239,0.824459450703101,0.932869264425558,-4.89359587925009,"Down_in_responders"
"FCGR2B",-0.0224522292993624,12.5245833333333,-0.217436145569957,0.827990471383631,0.932869264425558,-4.89405750723603,"Down_in_responders"
"CCR7",-0.0297189144281351,15.8211388888889,-0.190847077065717,0.848751958411929,0.949927688553748,-4.89657130432719,"Down_in_responders"
"CD40LG",-0.02169066740515,18.5315277777778,-0.169643501990572,0.865384886067779,0.952926995355247,-4.89834135447864,"Down_in_responders"
"RHOC",0.0178870119080595,16.7348333333333,0.164907694016951,0.869108310386089,0.952926995355247,-4.89870825447703,"Up_in_responders"
"CCR9",0.0257947936859594,23.6288055555556,0.159884360608236,0.873060981231629,0.952926995355247,-4.89908608008879,"Up_in_responders"
"PDGFA",-0.0217363611188043,20.4696111111111,-0.156900878783502,0.875410083635877,0.952926995355247,-4.89930494931121,"Down_in_responders"
"FOXP3",-0.0187676543893659,20.4855,-0.145242786190573,0.884599693505563,0.952926995355247,-4.90012066996593,"Down_in_responders"
"IL2RA",0.0175754638604254,19.0985833333333,0.144401404426478,0.885263540063751,0.952926995355247,-4.90017710669607,"Up_in_responders"
"CDKN1A",-0.0131500969260586,17.0538611111111,-0.129337574849045,0.897162081866742,0.959622733135945,-4.9011320552523,"Down_in_responders"
"IRF1",-0.00951121572971458,13.2628611111111,-0.111626266258869,0.911181361377227,0.96848836523743,-4.90212042211687,"Down_in_responders"
"MYC",0.0113126557740247,18.6586111111111,0.101583072223738,0.919143630633148,0.970845459856262,-4.90261632840433,"Up_in_responders"
"HMGB1",-0.0183115710515337,18.168356545961,-0.0804374201040823,0.935933758936749,0.971739298438734,-4.90341377830593,"Down_in_responders"
"NFATC1",-0.017633619495984,18.62625,-0.0772538615800669,0.938464102084429,0.971739298438734,-4.90362398543141,"Down_in_responders"
"CCR3",-0.0118069786762669,16.7974722222222,-0.0746409333605313,0.940541466851769,0.971739298438734,-4.90371590378524,"Down_in_responders"
"IL23A",0.00939075048463041,21.6007222222222,0.0654668896338626,0.947838260233297,0.971739298438734,-4.90401358854648,"Up_in_responders"
"HMOX1",-0.00662730934852109,16.3540389972145,-0.0638265651246828,0.949143508960438,0.971739298438734,-4.90396864744083,"Down_in_responders"
"IL1B",-0.00493215175851605,16.6103888888889,-0.0455625711027618,0.963683923909306,0.971739298438734,-4.90452541433938,"Down_in_responders"
"MCAM",-0.00348379950152388,25.3197777777778,-0.0448561875066008,0.964246572065759,0.971739298438734,-4.90454020671273,"Down_in_responders"
"MMP9",-0.00721545278316151,14.55825,-0.0426683214466159,0.965989361761582,0.971739298438734,-4.9045845562775,"Down_in_responders"
"F5",0.000236776516200531,18.06675,0.00183967177819723,0.998533164376318,0.998533164376318,-4.90500542225972,"Up_in_responders"
