"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0033631","cell-cell adhesion mediated by integrin","3/290","17/11800",0.176470588235294,7.18052738336714,4.04767835591234,0.00773703784085372,0.0704420140143264,0.0585281720699728,"ITGA5/NPNT/PODXL",3,"Down en respondedores"
"GO:0035116","embryonic hindlimb morphogenesis","3/290","17/11800",0.176470588235294,7.18052738336714,4.04767835591234,0.00773703784085372,0.0704420140143264,0.0585281720699728,"GPC3/OSR1/MSX1",3,"Down en respondedores"
"GO:0043931","ossification involved in bone maturation","3/290","17/11800",0.176470588235294,7.18052738336714,4.04767835591234,0.00773703784085372,0.0704420140143264,0.0585281720699728,"ADAMTS12/THBS3/ADAMTS7",3,"Down en respondedores"
"GO:0007631","feeding behavior","5/290","51/11800",0.0980392156862745,3.98918187964841,3.39563432287925,0.00808248040102523,0.0731736919452369,0.0607978419284689,"COL6A1/GAL/NTRK2/STRA6/UCHL1",5,"Down en respondedores"
"GO:0010812","negative regulation of cell-substrate adhesion","5/290","51/11800",0.0980392156862745,3.98918187964841,3.39563432287925,0.00808248040102523,0.0731736919452369,0.0607978419284689,"FBLN1/ANGPT2/FZD4/ACVRL1/SERPINE1",5,"Down en respondedores"
"GO:0008217","regulation of blood pressure","8/290","117/11800",0.0683760683760684,2.78219864426761,3.07507554277107,0.00817730996722254,0.0738248460066058,0.061338866450285,"EDNRA/GJA5/PDGFB/NPR1/GAS6/EMILIN2/ACVRL1/VEGFC",8,"Down en respondedores"
"GO:0031032","actomyosin structure organization","10/290","167/11800",0.0598802395209581,2.43650629774933,2.96758962133994,0.00823190160536818,0.0740979664875819,0.061565794125907,"PDGFRB/ELN/STMN1/IQGAP3/NRP1/PDGFRA/LMOD1/CNN1/MYL9/RGCC",10,"Down en respondedores"
"GO:0003180","aortic valve morphogenesis","4/290","33/11800",0.121212121212121,4.93207941483804,3.590296464833,0.00834177744231536,0.0740979664875819,0.061565794125907,"ELN/HEYL/CDH11/TIE1",4,"Down en respondedores"
"GO:0003203","endocardial cushion morphogenesis","4/290","33/11800",0.121212121212121,4.93207941483804,3.590296464833,0.00834177744231536,0.0740979664875819,0.061565794125907,"HEYL/TMEM100/MSX1/ACVRL1",4,"Down en respondedores"
"GO:0035909","aorta morphogenesis","4/290","33/11800",0.121212121212121,4.93207941483804,3.590296464833,0.00834177744231536,0.0740979664875819,0.061565794125907,"PDGFRB/LRP1/COL3A1/ACVRL1",4,"Down en respondedores"
"GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","4/290","33/11800",0.121212121212121,4.93207941483804,3.590296464833,0.00834177744231536,0.0740979664875819,0.061565794125907,"MMP2/IL10/PDGFB/IGFBP5",4,"Down en respondedores"
"GO:0007015","actin filament organization","17/290","363/11800",0.046831955922865,1.90557613755106,2.78167354217807,0.0083613791289768,0.0740979664875819,0.061565794125907,"ELN/DBN1/STMN1/IQGAP3/RHOU/MICAL2/NRP1/TPM2/LMOD1/FSCN1/DPYSL3/CNN1/ESAM/GSN/TPM4/MYL9/RGCC",17,"Down en respondedores"
"GO:0022404","molting cycle process","6/290","72/11800",0.0833333333333333,3.39080459770115,3.22984952568387,0.00841447587168942,0.0740979664875819,0.061565794125907,"COL6A1/INHBA/GAL/WNT5A/IGFBP5/LDB2",6,"Down en respondedores"
"GO:0022405","hair cycle process","6/290","72/11800",0.0833333333333333,3.39080459770115,3.22984952568387,0.00841447587168942,0.0740979664875819,0.061565794125907,"COL6A1/INHBA/GAL/WNT5A/IGFBP5/LDB2",6,"Down en respondedores"
"GO:0048661","positive regulation of smooth muscle cell proliferation","6/290","72/11800",0.0833333333333333,3.39080459770115,3.22984952568387,0.00841447587168942,0.0740979664875819,0.061565794125907,"PDGFRB/MMP2/IL10/PDGFD/PDGFB/IGFBP5",6,"Down en respondedores"
"GO:0070371","ERK1 and ERK2 cascade","12/290","221/11800",0.0542986425339367,2.20939304103604,2.8807927333633,0.00850361621987794,0.0746788966666665,0.0620484717148128,"FBLN1/PDGFRB/IQGAP3/RRAS/INHBA/PDGFD/NRP1/PDGFB/PDGFRA/NPNT/GAS6/ACKR3",12,"Down en respondedores"
"GO:0046661","male sex differentiation","8/290","118/11800",0.0677966101694915,2.75862068965517,3.04746354138943,0.0085908487107666,0.0752399603119586,0.0625146427923062,"ROR2/INHBA/ASPM/SYCP2/SFRP2/PDGFRA/WNT5A/HOXA11",8,"Down en respondedores"
"GO:0038127","ERBB signaling pathway","9/290","143/11800",0.0629370629370629,2.5608873884736,2.98078141562314,0.00875206137019283,0.07616215437935,0.0632808663850504,"AXL/PDGFRB/ROR2/PDGFRA/EPHA3/PLAUR/NTRK2/TIE1/FLT1",9,"Down en respondedores"
"GO:0044706","multi-multicellular organism process","9/290","143/11800",0.0629370629370629,2.5608873884736,2.98078141562314,0.00875206137019283,0.07616215437935,0.0632808663850504,"FBLN1/MMP2/STC2/ITGA5/FBN2/TPPP3/IGFBP5/PTGFR/ANGPT2",9,"Down en respondedores"
"GO:1904705","regulation of vascular associated smooth muscle cell proliferation","5/290","52/11800",0.0961538461538462,3.91246684350133,3.34090887734049,0.00876703669709552,0.07616215437935,0.0632808663850504,"MMP2/IL10/PDGFB/IGFBP5/CNN1",5,"Down en respondedores"
"GO:0003206","cardiac chamber morphogenesis","7/290","95/11800",0.0736842105263158,2.99818511796733,3.10381445546817,0.00883138127705056,0.0765148974621881,0.0635739501098377,"CPE/FOXC2/HEYL/EDNRA/WNT2/SFRP2/NRP1",7,"Down en respondedores"
"GO:0051960","regulation of nervous system development","16/290","336/11800",0.0476190476190476,1.9376026272578,2.76760625399,0.00892103787680796,0.0770844640132762,0.0640471859985874,"DBN1/HEYL/WNT2/ASPM/KIF14/NRP1/NUMBL/JAM2/WNT5A/SRPX2/FZD4/NTRK2/NEURL1/SEMA3G/VEGFC/ITPKA",16,"Down en respondedores"
"GO:0035455","response to interferon-alpha","3/290","18/11800",0.166666666666667,6.7816091954023,3.89636302575525,0.00911790319990049,0.0783653387020781,0.0651114266401315,"AXL/GAS6/IFITM1",3,"Down en respondedores"
"GO:0035929","steroid hormone secretion","3/290","18/11800",0.166666666666667,6.7816091954023,3.89636302575525,0.00911790319990049,0.0783653387020781,0.0651114266401315,"INHBA/GAL/FZD4",3,"Down en respondedores"
"GO:0035633","maintenance of blood-brain barrier","4/290","34/11800",0.117647058823529,4.78701825557809,3.50999399018102,0.00927493628471857,0.0790823271048888,0.0657071509560681,"LAMA2/JAM2/ESAM/LAMC1",4,"Down en respondedores"
"GO:0043277","apoptotic cell clearance","4/290","34/11800",0.117647058823529,4.78701825557809,3.50999399018102,0.00927493628471857,0.0790823271048888,0.0657071509560681,"AXL/LRP1/GAS6/PEAR1",4,"Down en respondedores"
"GO:0050922","negative regulation of chemotaxis","4/290","34/11800",0.117647058823529,4.78701825557809,3.50999399018102,0.00927493628471857,0.0790823271048888,0.0657071509560681,"NRP1/WNT5A/ANGPT2/TNFAIP6",4,"Down en respondedores"
